TimeStamp(HH:MM:SS),CO2(PPM),Humidity(%RH),Temperature(Deg C),Light Level (Lux)
322:20:58,932,52,26.0,1664.584
323:12:31,909,52,26.3,1643.143
324:4:5,914,53,26.3,1642.835
324:19:40,893,53,25.7,1620.022
325:11:16,903,53,25.0,1598.441
326:2:53,910,52,25.2,1622.761
326:18:31,906,52,25.3,1633.514
327:10:10,907,52,26.1,1628.410
328:1:50,917,52,26.6,414.478
328:17:31,910,54,25.6,438.369
329:9:13,934,55,24.5,475.154
330:0:56,947,55,23.8,524.602
330:16:40,953,56,23.5,1699.193
331:8:25,913,54,24.4,1464.855
332:0:11,921,54,24.7,1605.175
332:15:58,930,54,24.9,1650.619
333:7:46,939,53,25.8,1661.632
333:23:35,924,53,26.0,1650.687
334:15:25,943,53,26.6,1632.692
335:7:16,931,54,26.6,1635.124
335:23:8,925,53,26.9,1629.061
336:15:1,933,53,27.1,1575.936
337:6:56,969,54,27.0,1594.614
337:22:51,974,53,27.5,1570.307
338:14:47,952,55,26.6,375.104
339:6:44,964,56,25.9,361.982
339:22:42,961,56,25.8,376.871
340:14:41,957,57,25.4,332.259
341:6:41,954,57,25.4,312.347
341:22:42,962,58,24.9,332.290
342:14:44,955,58,24.9,1558.203
343:6:47,952,56,25.5,1570.273
343:22:51,948,57,25.3,1559.532
344:14:56,951,56,25.7,1575.800
345:7:2,966,56,25.5,520.971
345:23:9,965,57,24.5,374.342
346:15:17,950,57,24.4,1032.341
347:7:26,956,57,25.2,1591.027
347:23:36,951,57,25.1,1577.506
348:15:47,953,56,25.3,1593.247
349:7:59,950,56,25.7,1561.441
350:0:12,959,55,26.0,1477.150
350:16:26,953,54,26.7,1547.369
351:8:41,963,55,25.9,503.618
352:0:57,952,55,26.1,715.813
352:17:14,971,56,25.6,432.873
353:9:32,977,56,25.3,389.499
354:1:51,989,56,25.5,418.736
354:18:11,1010,56,25.5,1495.698
355:10:32,990,54,26.2,1450.136
356:2:54,1006,54,25.7,1435.669
356:19:17,1023,54,24.8,1438.237
357:11:41,1005,54,24.7,1417.641
358:4:6,1010,54,24.4,1403.242
358:20:32,1027,53,24.5,1396.099
359:12:59,1039,53,24.5,1379.537
360:5:27,1037,53,24.5,1333.192
360:21:56,1043,53,24.4,1346.105
361:14:26,1046,53,24.4,1317.044
362:6:57,1039,54,24.5,1301.117
362:23:29,1057,54,24.8,905.864
363:16:2,1096,55,24.4,357.177
364:8:36,1086,56,24.1,327.413
365:1:11,1100,57,24.2,329.866
365:17:47,1077,58,24.0,353.925
366:10:24,1074,57,24.9,1314.935
367:3:2,1101,57,25.2,1276.196
367:19:41,1113,57,25.8,1281.671
368:12:21,1097,57,25.9,1280.135
369:5:2,1090,58,25.6,1273.226
369:21:44,1076,57,26.0,1261.820
370:14:27,1070,58,25.7,1213.213
371:7:11,1076,58,25.7,1202.260
371:23:56,1077,58,26.0,1209.760
372:16:42,1065,58,25.8,1203.023
373:9:29,1066,58,25.9,1216.235
374:2:17,1083,58,25.9,853.101
374:19:6,1071,59,25.3,460.913
375:11:56,1067,59,25.3,445.436
376:4:47,1057,60,24.7,399.029
376:21:39,1050,60,24.8,416.806
377:14:32,1050,61,24.7,947.112
378:7:26,1043,60,24.9,1096.505
379:0:21,1041,60,24.9,386.264
379:17:17,1029,61,24.5,898.919
380:10:14,1036,61,24.5,344.056
381:3:12,1032,62,24.4,317.426
381:20:11,1035,62,24.1,295.925
382:13:11,1021,62,24.3,297.312
383:6:12,1005,62,24.2,303.226
383:23:14,1004,63,23.9,310.474
384:16:17,1009,62,24.1,483.025
385:9:21,994,63,24.0,523.950
386:2:26,1027,63,24.2,519.359
386:19:32,1007,63,24.4,526.433
387:12:39,990,63,24.0,540.382
388:5:47,1001,63,24.1,556.378
388:22:56,1003,63,23.9,532.954
389:16:6,979,63,24.0,365.359
390:9:17,971,63,24.0,335.533
391:2:29,987,64,23.6,309.598
391:19:42,968,64,23.5,289.956
392:12:56,980,64,23.4,283.933
393:6:11,981,64,23.2,293.995
393:6:12,2782,73,21.7,2236.448
393:6:14,2418,73,23.2,2126.516
393:6:17,2084,71,24.9,2126.516
393:6:21,1841,67,27.0,2577.110
393:6:26,1660,62,29.3,2260.112
393:6:32,1550,58,31.2,2238.792
393:6:39,1523,54,32.4,2138.345
393:6:47,1494,51,33.5,2322.144
393:6:56,1472,48,34.6,2290.783
393:7:6,1476,45,35.5,2285.513
393:7:17,1487,43,36.3,2291.922
393:7:29,1498,41,37.0,2289.145
393:7:42,1499,40,37.5,2298.048
393:7:56,1514,38,37.9,2288.290
393:8:11,1526,37,38.2,2304.034
393:8:27,1534,36,38.4,2305.459
393:8:44,1535,34,38.6,2324.284
393:9:2,1526,34,38.7,2333.560
393:9:21,1487,33,38.7,2342.841
393:9:41,1469,32,38.8,2341.199
393:10:2,1437,31,38.8,2308.809
393:10:24,1399,31,38.7,2285.584
393:10:47,1380,30,38.6,2286.723
393:11:11,1356,30,38.6,2292.705
393:11:36,1311,29,38.7,2331.419
393:12:2,1296,29,38.9,2343.484
393:12:29,1268,29,39.0,2345.983
393:12:57,1239,28,39.1,2354.484
393:13:26,1221,28,39.0,2361.630
393:13:56,1203,28,39.0,2374.357
393:14:27,1175,27,38.9,2359.557
393:14:59,1141,27,38.9,2363.345
393:15:32,1122,27,38.9,2352.340
393:16:6,1097,27,38.9,2353.984
393:16:41,1090,26,38.9,2378.720
393:17:17,1082,26,38.7,2382.010
393:17:54,1080,26,38.6,2391.242
393:18:32,1095,26,38.5,2407.211
393:19:11,1131,26,38.4,2456.341
393:19:51,1140,26,38.7,2472.360
393:20:32,1154,26,39.1,2472.792
393:21:14,1166,26,39.4,2474.013
393:21:57,1177,25,39.7,2470.564
393:22:41,1194,25,39.9,2479.188
393:23:26,1244,25,40.2,2508.755
394:0:12,1274,25,40.5,2542.544
394:0:59,1280,25,40.8,2554.589
394:1:47,1301,25,41.2,2580.287
394:2:36,1315,25,41.5,2596.690
394:3:26,1336,24,41.6,2599.943
394:4:17,1347,24,41.5,2631.703
394:5:9,1358,24,41.4,2643.580
394:6:2,1368,24,41.1,1624.952
394:6:56,1392,24,40.8,1926.959
394:7:51,1399,24,40.5,2690.135
394:8:47,1405,24,40.4,2166.483
394:9:44,1418,24,40.4,2724.060
394:10:42,1434,24,40.6,2232.259
394:11:41,1450,24,40.7,2391.457
394:12:41,1460,24,41.0,2744.279
394:13:42,1469,24,41.3,2750.246
394:13:43,1496,23,41.5,1818.426
394:13:45,1498,24,40.4,1777.878
394:13:48,1509,24,40.1,2385.159
394:13:52,1522,24,40.1,1467.733
394:13:57,1537,25,40.0,1446.687
394:14:3,1548,25,39.8,1469.257
394:14:10,1556,25,39.7,1476.337
394:14:18,1563,25,39.5,1579.178
394:14:27,1567,25,39.4,1585.323
394:14:37,1568,25,39.3,2729.513
394:14:48,1573,24,39.6,2741.805
394:15:0,1574,24,39.6,2435.384
394:15:13,1580,24,39.7,1582.865
394:15:27,1589,23,39.7,2722.097
394:15:28,1736,30,28.1,1760.078
394:15:30,1771,32,28.7,1886.802
394:15:33,1759,31,29.9,1650.413
394:15:37,1751,31,31.2,1664.893
394:15:42,1743,30,32.1,1628.376
394:15:48,1744,29,32.9,1618.824
394:15:55,1743,29,33.6,1591.266
394:16:3,1742,29,34.1,1612.734
394:16:12,1740,28,34.6,1617.524
394:16:22,1738,28,35.0,1570.239
394:16:34,1736,28,35.3,1596.903
394:16:46,1737,28,35.5,1596.835
394:16:59,1740,28,35.7,1604.594
394:17:13,1749,28,35.9,1579.485
394:17:28,1762,28,36.1,1676.673
394:17:44,1782,28,36.3,1706.180
394:18:1,1805,27,36.5,1818.600
394:18:19,1810,27,36.8,1888.230
394:18:38,1812,27,37.0,1864.396
394:18:58,1812,27,37.2,1881.755
394:19:19,1813,27,37.4,1914.156
394:19:41,1827,27,37.5,1999.252
394:20:4,1841,27,37.7,1992.174
394:20:28,1844,27,37.8,1995.572
394:20:53,1854,27,38.1,2917.515
394:21:19,1852,26,38.8,2955.881
394:21:20,753,49,21.8,911.779
394:21:22,747,49,22.1,1117.963
394:21:25,740,47,23.4,1528.685
394:21:29,733,45,24.7,991.549
394:21:34,730,43,25.9,985.395
394:21:40,726,41,27.0,952.012
394:21:47,728,40,27.7,890.978
394:21:55,726,39,28.4,819.850
394:22:4,723,38,28.8,792.874
394:22:14,722,37,29.2,774.963
394:22:25,722,37,29.4,775.920
394:22:37,722,36,29.7,812.546
394:22:50,724,36,29.8,955.972
394:23:4,725,36,30.0,1487.320
394:23:19,726,35,30.2,1395.930
394:23:35,725,35,30.4,2042.766
394:23:52,724,35,30.7,1858.799
395:0:10,725,34,30.9,1677.429
395:0:29,726,34,30.9,1087.073
395:0:49,727,34,30.7,1007.522
395:1:10,728,34,30.5,892.334
395:1:32,726,34,30.3,743.880
395:1:55,723,35,30.0,722.124
395:2:19,722,35,29.8,732.345
395:2:44,723,36,29.6,717.399
395:3:10,720,36,29.4,679.868
395:3:37,720,36,29.2,644.659
395:4:5,721,36,29.1,594.119
395:4:34,721,36,29.1,528.792
395:5:4,722,35,29.2,487.257
395:5:35,722,34,29.2,466.952
395:6:7,720,34,29.3,445.005
395:6:40,721,33,29.4,422.383
395:7:14,720,33,29.4,396.890
395:7:49,718,32,29.4,379.645
395:8:25,716,32,29.3,362.499
395:9:2,716,32,29.2,354.594
395:9:40,712,31,29.1,356.813
395:10:19,712,31,29.1,360.248
395:10:59,713,31,29.0,370.473
395:11:40,712,31,28.9,381.566
395:12:22,712,31,28.9,394.995
395:13:5,710,31,28.9,411.661
395:13:49,709,31,28.9,440.888
395:14:34,710,31,28.9,463.963
395:15:20,712,32,28.9,491.676
395:16:7,712,32,29.0,507.953
395:16:55,713,32,29.0,529.569
395:17:44,713,33,29.0,541.688
395:18:34,714,33,29.0,557.904
395:19:25,714,33,29.0,570.281
395:20:17,713,34,29.0,579.865
395:21:10,712,34,29.0,596.340
395:22:4,711,34,29.1,623.574
395:22:59,713,34,29.1,680.310
395:23:55,744,34,29.2,734.219
396:0:52,774,35,29.4,846.416
396:1:50,792,35,29.6,903.990
396:2:49,813,35,29.8,858.150
396:3:49,825,38,27.1,499.625
396:4:50,830,40,25.0,501.234
396:5:52,843,41,23.9,525.440
396:6:55,868,43,23.4,595.151
396:7:59,892,43,23.5,695.609
396:9:4,902,44,23.3,759.886
396:10:10,908,44,23.4,915.627
396:11:17,918,45,23.6,889.236
396:12:25,929,45,23.6,692.952
396:13:34,932,46,22.9,649.411
396:14:44,932,47,22.5,642.300
396:15:55,939,48,22.0,644.439
396:17:7,959,48,22.0,649.159
396:18:20,978,49,21.7,701.843
396:19:34,993,48,22.2,722.537
396:20:49,1005,47,23.0,709.855
396:22:5,1029,46,23.8,685.744
396:23:22,1054,45,24.1,1279.834
397:0:40,1074,43,25.0,1526.916
397:1:59,1089,41,26.3,1486.031
397:3:19,1099,40,26.7,1446.247
397:4:40,1129,39,26.8,1444.895
397:6:2,1145,38,27.1,1444.422
397:7:25,1163,37,27.2,1415.144
397:8:49,1169,37,27.1,1393.438
397:10:14,1185,36,27.5,1383.944
397:11:40,1204,36,27.6,1377.081
397:13:7,1229,35,27.7,1196.323
397:14:35,1228,36,27.2,1114.636
397:16:4,1231,35,27.2,1270.791
397:17:34,1231,36,27.1,1024.008
397:19:5,1246,36,26.8,1415.751
397:20:37,1255,37,26.7,971.372
397:22:10,1266,37,26.6,1376.105
397:23:44,1274,38,26.4,864.585
398:1:19,1278,40,25.3,1387.276
398:2:55,1292,40,25.2,1415.245
398:4:32,1282,41,24.8,634.755
398:6:10,1234,42,24.5,634.440
398:7:49,1245,44,23.8,676.395
398:9:29,1239,44,23.7,610.401
398:11:10,1246,45,23.9,555.132
398:12:52,1247,46,23.7,489.822
398:14:35,1241,46,24.2,447.280
398:16:19,1228,47,23.9,417.510
398:18:4,1216,47,23.8,397.317
398:19:50,1185,48,23.7,375.225
398:21:37,1169,49,23.3,351.312
398:23:25,1150,49,23.3,336.381
399:1:14,1123,49,23.4,327.716
399:3:4,1109,50,23.2,312.498
399:4:55,1069,50,23.2,315.189
399:6:47,1061,50,22.8,318.666
399:8:40,1037,50,22.6,321.026
399:10:34,1026,50,22.3,307.151
399:12:29,1007,50,22.4,306.003
399:14:25,997,50,22.1,304.645
399:16:22,997,50,21.8,294.749
399:18:20,1012,49,21.8,295.925
399:20:19,1027,48,21.8,295.412
399:22:19,1036,48,21.8,301.475
400:0:20,1050,47,22.7,306.698
400:2:22,1079,46,23.2,308.722
400:4:25,1101,45,23.6,321.359
400:6:29,1104,44,24.0,327.049
400:8:34,1123,43,24.4,335.836
400:10:40,1134,43,24.6,325.929
400:12:47,1149,43,24.8,332.532
400:14:55,1165,43,24.9,330.078
400:17:4,1181,43,25.2,340.566
400:19:14,1189,44,24.4,347.789
400:21:25,1200,45,23.6,333.835
400:23:37,1204,46,23.2,338.929
401:1:50,1227,47,22.7,351.677
401:4:4,1238,48,22.7,346.393
401:6:19,1243,48,22.7,366.150
401:8:35,1262,49,22.7,391.727
401:10:52,1272,49,22.8,382.938
401:13:10,1279,50,22.7,392.277
401:15:29,1298,50,23.1,390.292
401:17:49,1320,50,23.2,397.623
401:20:10,1324,50,23.1,397.440
401:22:32,1328,50,23.2,406.306
402:0:55,1344,51,23.3,409.029
402:3:19,1365,51,23.2,417.020
402:5:44,1365,51,23.4,436.035
402:8:10,1377,51,23.1,462.484
402:10:37,1394,51,23.4,455.802
402:13:5,1401,51,23.7,472.594
402:15:34,1420,51,23.5,470.713
402:18:4,1426,51,23.6,495.634
402:20:36,1441,51,23.6,481.543
402:23:8,1451,51,23.6,478.302
403:1:41,1464,51,23.7,471.854
403:4:15,1476,51,23.8,473.427
403:6:50,1478,50,23.8,456.787
403:9:26,1497,50,23.9,441.686
403:12:3,1504,50,23.6,424.743
403:14:41,1505,49,23.7,414.386
403:17:20,1516,49,23.5,423.149
403:20:0,1518,48,23.5,410.131
403:22:41,1528,48,23.6,405.266
404:1:23,1544,47,23.4,423.180
404:4:6,1567,45,24.4,422.352
404:6:50,1581,43,25.5,423.394
404:9:35,1559,42,25.8,432.474
404:12:21,1551,41,26.1,440.826
404:15:8,1526,42,25.1,430.049
404:17:56,1437,43,24.2,423.793
404:20:45,1338,43,23.6,412.855
404:23:35,1249,43,23.1,399.609
405:2:26,1173,44,22.7,388.644
405:5:18,1087,44,22.2,395.148
405:8:11,1024,45,21.9,390.231
405:11:5,966,45,21.6,386.203
405:14:0,923,46,21.1,386.508
405:16:56,879,46,21.0,381.810
405:19:53,842,47,21.0,377.846
405:22:51,802,48,20.8,359.944
406:1:50,778,48,20.8,341.659
406:4:50,750,49,20.6,343.722
406:7:51,730,49,20.6,347.091
406:10:53,712,50,20.4,367.612
406:13:56,690,50,20.4,361.313
406:17:0,678,51,20.4,361.587
406:20:5,671,52,20.3,369.134
406:23:11,657,52,20.4,390.506
407:2:18,646,53,20.6,373.915
407:5:26,632,53,20.6,382.389
407:8:35,622,54,20.6,381.017
407:11:45,615,54,20.6,382.084
407:14:56,613,55,20.7,394.720
407:18:8,607,55,20.8,391.789
407:21:21,601,55,20.7,420.299
408:0:35,588,55,20.8,405.266
408:3:50,579,56,20.8,376.993
408:7:6,576,56,20.7,372.880
408:10:23,569,56,20.8,354.047
408:13:41,567,56,20.8,351.981
408:17:0,563,57,20.7,363.290
408:20:20,560,56,20.9,324.960
408:23:41,564,57,20.6,332.502
409:3:3,594,56,20.7,336.412
409:6:26,615,56,20.5,348.640
409:9:50,629,56,20.4,346.636
409:13:15,652,55,20.6,378.029
409:16:41,670,53,21.0,347.243
409:20:8,684,52,21.6,354.290
409:23:36,701,51,21.9,363.655
410:3:5,724,50,22.1,330.623
410:6:35,740,49,22.4,367.185
410:10:6,757,48,22.6,375.469
410:13:38,773,47,22.5,313.375
410:17:11,788,46,22.6,283.963
410:20:45,809,46,22.6,276.169
411:0:20,814,45,22.6,269.556
411:3:56,826,45,22.5,264.870
411:7:33,847,45,22.5,235.561
411:11:11,859,44,22.5,240.887
411:14:50,870,44,22.6,246.396
411:18:30,877,44,22.8,262.768
411:22:11,896,44,22.8,272.952
412:1:53,906,44,22.8,283.361
412:5:36,924,44,22.9,297.463
412:9:20,932,44,23.0,289.444
412:13:5,939,44,23.1,302.683
412:16:51,948,44,23.2,346.454
412:20:38,959,44,23.2,339.171
413:0:26,978,44,23.4,332.017
413:4:15,997,45,23.4,319.423
413:8:5,1002,45,23.4,309.235
413:11:56,1024,45,23.7,299.484
413:15:48,1029,45,23.7,317.305
413:19:41,1037,45,23.8,314.917
413:23:35,1050,45,24.0,310.685
414:3:30,1059,46,24.0,324.748
414:7:26,1067,46,23.6,325.112
414:11:23,1075,48,22.5,332.259
414:15:21,1088,49,22.0,347.061
414:19:20,1094,49,21.8,338.019
414:23:20,1113,50,21.5,326.202
415:3:21,1125,50,21.6,323.053
415:7:23,1139,50,21.5,327.655
415:11:26,1145,50,21.6,322.751
415:15:30,1148,48,22.9,332.441
415:19:35,1175,47,23.9,321.298
415:23:41,1185,46,24.3,336.745
416:3:48,1202,46,24.3,335.745
416:7:56,1210,46,24.3,334.957
416:12:5,1221,46,24.5,336.290
416:16:15,1223,46,24.3,370.473
416:20:26,1226,47,24.3,356.965
417:0:38,1231,47,24.3,379.553
417:4:51,1252,47,24.2,376.048
417:9:5,1253,48,24.3,384.494
417:13:20,1259,49,24.1,360.370
417:17:36,1270,49,24.3,325.687
417:21:53,1290,49,24.6,310.293
418:2:11,1294,49,24.7,320.300
418:6:30,1296,48,25.0,326.292
418:10:50,1296,49,24.9,307.091
418:15:11,1303,50,24.6,329.200
418:19:33,1306,49,24.9,320.572
418:23:56,1310,50,24.6,317.457
419:4:20,1318,50,24.9,302.502
419:8:45,1331,50,25.0,302.049
419:13:11,1347,50,24.9,296.045
419:17:38,1355,50,24.8,289.474
419:22:6,1374,50,24.7,272.621
420:2:35,1379,50,24.7,273.102
420:7:5,1387,50,24.9,267.693
420:11:36,1393,50,24.8,278.064
420:16:8,1410,50,24.9,276.049
420:20:41,1425,49,25.2,280.742
421:1:15,1430,49,25.2,295.503
421:5:50,1432,49,25.0,307.242
421:10:26,1434,49,25.0,315.975
421:15:3,1444,50,24.8,333.775
421:19:41,1454,49,25.0,332.381
422:0:20,1467,49,25.0,342.629
422:5:0,1476,49,25.3,347.729
422:9:41,1482,49,25.3,357.360
422:14:23,1494,49,25.3,363.807
422:19:6,1502,48,25.6,345.391
422:23:50,1516,48,25.4,351.009
423:4:35,1522,48,25.5,354.837
423:9:21,1530,48,25.7,361.465
423:14:8,1540,48,25.6,380.895
423:18:56,1560,47,25.9,365.846
423:23:45,1572,47,25.9,376.414
424:4:35,1586,48,25.7,382.206
424:9:26,1590,47,25.9,386.721
424:14:18,1599,48,25.6,393.651
424:19:11,1606,47,25.9,408.631
425:0:5,1622,47,26.1,397.073
425:5:0,1623,47,25.9,406.306
425:9:56,1627,47,26.1,397.073
425:14:53,1629,47,26.1,404.715
425:19:51,1641,46,26.2,392.124
426:0:50,1642,46,26.3,392.918
426:5:50,1657,46,26.5,393.041
426:10:51,1667,46,26.6,386.264
426:15:53,1675,46,26.6,404.471
426:20:56,1676,46,26.4,411.386
427:2:0,1684,46,26.5,391.819
427:7:5,1688,46,26.4,383.853
427:12:11,1702,45,26.7,380.377
427:17:18,1707,45,26.7,373.946
427:22:26,1723,46,26.5,357.633
428:3:35,1728,45,26.4,358.302
428:8:45,1736,46,26.4,357.877
428:13:56,1740,46,26.2,349.490
428:19:8,1754,45,26.6,361.952
429:0:21,1758,46,26.2,349.824
429:5:35,1770,45,26.6,349.156
429:10:50,1771,45,26.7,354.989
429:16:6,1779,45,26.6,349.308
429:21:24,1787,45,27.0,348.275
430:2:42,1802,45,26.7,341.234
430:8:1,1815,45,26.8,321.298
430:13:21,1815,45,27.0,311.078
430:18:42,1822,45,26.8,294.116
431:0:4,1826,44,27.2,292.940
431:5:27,1832,44,27.3,290.077
431:10:51,1847,44,27.2,283.391
431:16:16,1859,44,27.1,279.779
431:21:42,1869,44,27.3,272.441
432:3:9,1890,44,27.4,277.794
432:8:37,1890,44,27.4,280.381
432:14:6,1896,43,27.5,289.354
432:19:36,1897,43,27.6,328.382
433:1:7,1897,44,27.3,294.809
433:6:39,1902,43,27.4,304.796
433:12:12,1912,44,27.3,316.398
433:17:46,1928,44,27.1,330.805
433:23:21,1928,44,27.0,354.077
434:4:57,1935,44,27.1,334.926
434:10:34,1945,44,27.3,329.290
434:16:12,1948,44,27.3,325.354
434:21:51,1948,44,27.2,322.267
435:3:31,1957,43,27.5,318.394
435:9:12,1961,44,27.2,324.839
435:14:54,1967,44,27.1,317.971
435:20:37,1978,44,27.3,372.666
436:2:21,1987,44,27.1,367.398
436:8:6,1992,44,27.5,357.603
436:13:52,2004,44,27.3,347.182
436:19:39,2012,45,26.3,332.017
437:1:27,2005,45,26.2,315.279
437:7:16,2008,46,25.7,312.347
437:13:6,2011,47,25.4,321.873
437:18:57,2022,47,25.6,337.716
438:0:49,2027,47,25.5,346.636
438:6:42,2031,47,25.4,365.542
438:12:36,2025,48,25.4,346.939
438:18:31,2033,48,25.3,341.598
439:0:27,2039,48,25.5,294.658
439:6:24,2044,48,25.2,285.559
439:12:22,2051,48,25.1,352.163
439:18:21,2049,48,25.2,321.389
440:0:21,2050,48,25.4,245.617
440:6:22,2068,48,25.7,234.724
440:12:24,2067,48,25.4,219.788
440:18:27,2074,48,25.7,218.475
441:0:31,2075,48,25.6,208.159
441:6:36,2079,48,25.4,213.404
441:12:42,2078,49,25.2,224.743
441:18:49,2078,48,25.3,223.310
442:0:57,2085,48,25.4,250.201
442:7:6,2092,48,25.3,252.569
442:13:16,2097,48,25.5,260.067
442:19:27,2108,48,25.7,286.281
443:1:39,2110,48,25.7,319.120
443:7:52,2117,48,25.6,321.480
443:14:6,2119,48,25.8,322.993
443:20:21,2125,48,25.5,347.121
444:2:37,2141,48,25.8,330.078
444:8:54,2141,48,25.9,340.020
444:8:55,2276,45,28.0,413.713
444:8:57,2051,46,28.3,1332.421
444:9:0,1848,45,29.3,2086.600
444:9:4,1716,42,31.0,1748.614
444:9:9,1626,41,32.1,1577.745
444:9:15,1534,39,32.9,1335.405
444:9:22,1471,38,33.2,1292.727
444:9:30,1417,36,33.4,1137.315
444:9:39,1345,36,33.4,1037.377
444:9:49,1289,35,33.4,996.958
444:10:0,1242,34,33.5,886.139
444:10:12,1196,33,33.7,823.920
444:10:25,1159,33,33.9,823.086
444:10:39,1110,32,34.2,739.874
444:10:54,1072,31,34.3,646.831
444:11:10,1033,31,34.2,578.678
444:11:27,989,31,34.0,544.704
444:11:45,953,31,33.6,505.104
444:12:4,923,31,33.3,454.109
444:12:24,891,31,32.9,408.264
444:12:45,863,32,32.5,373.672
444:13:7,845,32,32.0,353.956
444:13:30,839,33,31.6,342.812
444:13:54,825,33,31.3,24.759
444:13:55,450,0,0.0,51.769
444:13:57,450,0,0.0,53.778
444:14:0,450,0,0.0,54.302
444:14:4,450,0,0.0,57.127
444:14:9,450,0,0.0,57.914
444:14:15,450,0,0.0,58.496
